source,policy,model,people,deaths,estimand,estimate,ci_low,ci_high
sicdb,arterial_only,age_sex_severity,1208,111,average_marginal_risk_difference,0.0015274448296580853,-0.004930299128804294,0.006577398495341815
sicdb,concordant_only,age_sex,1118,103,risk_0.00,0.06542686587120211,0.04301662070700611,0.08940508646965127
sicdb,concordant_only,age_sex,1118,103,risk_0.10,0.10559113288400572,0.07250890523716001,0.13974391624803725
sicdb,concordant_only,age_sex,1118,103,risk_0.25,0.1440737417303939,0.08337610327889419,0.20798370215732492
sicdb,concordant_only,age_sex,1118,103,risk_0.50,0.08074093916134549,0.04799989880070628,0.11658258876857876
sicdb,concordant_only,age_sex,1118,103,average_marginal_risk_difference,0.01537577843382026,0.00488616313098348,0.02505225482565591
sicdb,concordant_only,age_sex_severity,1118,103,risk_0.00,0.07154647101436588,0.04865145456056942,0.0963133399548533
sicdb,concordant_only,age_sex_severity,1118,103,risk_0.10,0.1023694566946012,0.07312172343094696,0.13571800781250778
sicdb,concordant_only,age_sex_severity,1118,103,risk_0.25,0.1283941893890926,0.08090804707155407,0.18520294729502682
sicdb,concordant_only,age_sex_severity,1118,103,risk_0.50,0.08192449170389607,0.04977999120407641,0.11827078676851017
sicdb,concordant_only,age_sex_severity,1118,103,average_marginal_risk_difference,0.010346005989247935,0.0021768472859403608,0.018587606567843425
sicdb,cuff_only,age_sex,1208,111,risk_0.00,0.05651916365800547,0.034404506720672696,0.08087693231993717
sicdb,cuff_only,age_sex,1208,111,risk_0.10,0.0889651885396948,0.06445321311538675,0.11378030499958589
sicdb,cuff_only,age_sex,1208,111,risk_0.25,0.13154435843939533,0.0895948995067649,0.17731464486622683
sicdb,cuff_only,age_sex,1208,111,risk_0.50,0.09582156216541934,0.06660393349836656,0.12847296641031264
sicdb,cuff_only,age_sex,1208,111,average_marginal_risk_difference,0.011623469850063703,0.004994504160700764,0.017594644366303817
sicdb,cuff_only,age_sex_severity,1208,111,risk_0.00,0.06371931209887884,0.03874150948219058,0.08830327017967635
sicdb,cuff_only,age_sex_severity,1208,111,risk_0.10,0.08783657513459771,0.06534443906639387,0.11157020976093926
sicdb,cuff_only,age_sex_severity,1208,111,risk_0.25,0.11690350935028525,0.0824027814587239,0.15744922216805873
sicdb,cuff_only,age_sex_severity,1208,111,risk_0.50,0.09895742199765763,0.07173787295157201,0.129742916946886
sicdb,cuff_only,age_sex_severity,1208,111,average_marginal_risk_difference,0.007445582402994516,0.002080559615414383,0.012787589820946325
